category_id,name,path,depth,is_leaf,selection_score,rotation_bucket,previous_last_scanned_at,previous_scan_count,products_examined,candidate_count,scan_completed_at,scan_status,scan_error,category_total_sales,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_top10_sales_share,category_low_review_high_sales_count,category_new_listing_share_12m,category_cn_hk_seller_share,category_fba_share,category_price_median,category_health_score,category_health_flags,category_health_rank
678499011,Wine Stoppers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Stoppers,5,True,40.0,never_scanned,,0,100,8,2026-09-02T22:38:08,success,,75934.0,524.0,3655.0,Rabbit,0.1,0.453,7,0.07,0.69,0.96,9.99,65.9,top10 review wall; price band outside target,67
17384865011,Burners,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Cheese Tools > Fondue > Burners,5,True,40.0,never_scanned,,0,24,0,2026-09-02T22:38:08,success,,348.0,1.0,44.0,Swissmar,0.2,0.799,0,0.217,0.333,0.292,12.84,60.1,sales concentration,85
17384862011,Electric Fondue Pots,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Cheese Tools > Fondue > Electric Fondue Pots,5,True,40.0,never_scanned,,0,100,8,2026-09-02T22:38:08,success,,13067.0,65.0,1012.0,Nostalgia,0.3,0.761,0,0.31,0.55,0.75,34.55,65.2,sales concentration,70
17384863011,Forks,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Cheese Tools > Fondue > Forks,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:08,success,,2253.0,6.0,133.0,Sago Brothers,0.2,0.573,0,0.29,0.66,0.72,6.04,66.8,price band outside target,63
17384864011,Pots & Sets,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Cheese Tools > Fondue > Pots & Sets,5,True,40.0,never_scanned,,0,100,3,2026-09-02T22:38:08,success,,9837.0,39.0,856.0,Nostalgia,0.3,0.702,1,0.41,0.5,0.9,21.79,70.5,sales concentration,48
678502011,Corers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Corers & Pitters > Corers,5,True,40.0,never_scanned,,0,100,18,2026-09-02T22:38:09,success,,95101.0,512.0,9546.0,Newness Focus on Stainless Steel,0.2,0.491,4,0.202,0.78,0.99,9.98,68.0,top10 review wall; price band outside target,57
678503011,Pitters,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Corers & Pitters > Pitters,5,True,40.0,never_scanned,,0,100,5,2026-09-02T22:38:09,success,,53255.0,112.0,675.0,OXO,0.2,0.603,3,0.433,0.73,0.95,9.7,77.8,price band outside target,24
21606414011,Grapefruit Knives,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Grapefruit Utensils > Grapefruit Knives,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:09,success,,3793.0,23.0,860.0,HOMQUEN,0.3,0.619,1,0.31,0.48,0.62,5.99,67.9,price band outside target,60
21606415011,Grapefruit Spoons,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Grapefruit Utensils > Grapefruit Spoons,5,True,40.0,never_scanned,,0,99,0,2026-09-02T22:38:09,success,,2489.0,4.0,87.0,ModaSin,0.1,0.807,1,0.112,0.384,0.333,4.32,49.7,sales concentration; price band outside target,98
678504011,Potato Mashers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Fruit & Vegetable Tools > Potato Mashers & Ricers > Potato Mashers,5,True,40.0,never_scanned,,0,100,11,2026-09-02T22:38:09,success,,87409.0,296.0,1514.0,Shadowgallery,0.1,0.498,10,0.34,0.64,0.98,11.3,89.5,top10 review wall; price band outside target,7
